name,price_doll,price,url_img,inf
Mercedes-Benz S-класс AMG,$21000,1844430сом,https://im.mashina.kg/tachka/images//0/d/7/0d7b4824dbf571acf3f2112160232ace_240x180.jpg,"2003г.,5.4л.,автоматседан,бензинрульслева,181000км"
BMW X7,$180000,15809400сом,https://im.mashina.kg/tachka/images//8/8/8/88803f8108528980afdcc982b6e8ad1d_240x180.jpg,"2022г.,3л.,автоматвнедорожник5дв.,бензинрульслева,75км"
Subaru Crosstrek,$24000,2107920сом,https://im.mashina.kg/tachka/images//2/3/7/2376e16a221c0019ddd7a013a43ed9f2_240x180.jpg,"2020г.,2.5л.,вариаторвнедорожник5дв.,бензинрульслева,106000км"
Mercedes-Benz E-класс,$15000,1317450сом,https://im.mashina.kg/tachka/images//3/b/3/3b38350470293b72e5737e491b56c44d_240x180.jpg,"2011г.,3.5л.,автоматседан,бензинрульслева,284000км"
Kia Mohave (Borrego),$48000,4215840сом,https://im.mashina.kg/tachka/images//b/b/c/bbc24ebadced340ed0662d75c854bde6_240x180.jpg,"2020г.,3л.,автоматвнедорожник5дв.,дизельрульслева,22900км"
Hyundai Sonata,$19300,1695119сом,https://im.mashina.kg/tachka/images//6/4/c/64cfe783604d96d225147291f010263a_240x180.jpg,"2017г.,2л.,автоматседан,бензинрульслева,104349км"
Jeep Grand Cherokee SRT8,$36000,3161880сом,https://im.mashina.kg/tachka/images//b/2/6/b26c726438ca93436c422ba1c9a0d13d_240x180.jpg,"2012г.,6.4л.,автоматвнедорожник5дв.,бензинрульслева,108000км"
Toyota Land Cruiser,$149000,13086670сом,https://im.mashina.kg/tachka/images//7/9/1/7915b7f351ad1e8965358ec6e28b094b_240x180.jpg,"2022г.,3.4л.,автоматвнедорожник5дв.,бензинрульслева"
Mercedes-Benz CLS AMG,$29000,2547070сом,https://im.mashina.kg/tachka/images//8/3/9/83967e3af6ec1ab11016a224c60f68a0_240x180.jpg,"2006г.,5.4л.,автоматседан,бензинрульслева,99000км"
Lexus ES,$41000,3601030сом,https://im.mashina.kg/tachka/images//f/d/5/fd57dd3abac334d354689c854350ae25_240x180.jpg,"2018г.,2.5л.,вариаторседан,гибридрульслева,10000км"
Land Rover Range Rover,$28000,2459240сом,https://im.mashina.kg/tachka/images//0/8/8/08865804f6b5a3438444299908b37b2c_240x180.jpg,"2012г.,4.4л.,автоматвнедорожник5дв.,дизельрульслева,25000км"
Toyota RAV4,$27500,2415325сом,https://im.mashina.kg/tachka/images//9/5/0/9509cedcc1e85ba2eac19847bc828848_240x180.jpg,"2019г.,2.5л.,автоматвнедорожник5дв.,бензинрульслева,72000км"
BMW X5,$14000,1229620сом,https://im.mashina.kg/tachka/images//d/0/d/d0d434e8c7e5711b53c5ddc9677cf2f7_240x180.jpg,"2004г.,4.8л.,автоматвнедорожник5дв.,бензинрульслева,290000км"
Lexus GS,$12000,1053960сом,https://im.mashina.kg/tachka/images//e/9/c/e9c3bc542d396c14a110abba76bde05a_240x180.jpg,"2007г.,3.5л.,автоматседан,бензинрульслева,272000км"
Kia K7,$20500,1800515сом,https://im.mashina.kg/tachka/images//c/b/b/cbbfe4a3774d49c410d1f53958d79754_240x180.jpg,"2016г.,2.4л.,автоматседан,бензинрульслева,117623км"
